PR,10
PS,3
PW,8
PZ,2
QA,5
QD,2
QE,2
QH,4
QL,7
QN,1
QO,2
QR,8
AC,4
AG,3
AH,9
QY,2
AL,10
AM,5
AN,2
AO,16
RA,14
AP,1
AQ,9
RC,5
AR,4
RE,1
AU,7
RF,1
RH,3
AX,4
RI,4
RK,4
AZ,3
RQ,6
BA,1
BC,4
RS,2
RT,3
BK,2
SA,5
SB,7
BQ,1
BS,9
SD,21
SE,1
SG,2
BV,4
SH,21
BY,1
SL,3
SO,1
SQ,4
CA,1
CB,1
SR,4
CD,3
ST,2
CH,11
SX,7
CI,1
SY,2
CK,4
CM,3
CO,21
CP,1
CR,8
CS,10
TE,5
CT,1
CW,8
CY,3
TL,1
DA,12
DE,1
DG,2
DK,1
DL,5
DN,2
DO,5
UA,23
DQ,2
UB,1
DS,6
UE,4
DT,3
UF,3
UG,3
UH,4
DX,3
DY,2
UL,14
UO,1
US,1
ED,3
EF,43
EH,11
EI,3
EM,2
EN,3
EO,24
EP,5
VB,37
EQ,1
ER,7
ES,19
ET,6
VE,1
EU,3
VG,1
EV,1
EW,1
EX,2
EY,8
VO,1
VS,5
VT,2
FE,5
FH,5
VX,2
WA,1
WC,9
WE,4
WG,5
WH,5
FY,1
WK,5
WL,5
WO,2
WP,9
GA,11
GB,1
WS,6
GC,1
WT,2
GH,3
GO,3
XA,16
GR,5
XC,1
XD,8
GS,1
XE,37
GV,2
XG,1
GW,1
GY,1
GZ,3
XL,5
XO,1
XP,2
HA,12
HB,1
HC,6
HD,2
XU,1
HG,3
HI,5
XY,1
XZ,13
HK,6
HL,4
HM,11
HN,1
YA,1
HQ,1
YB,1
YC,3
HS,5
YD,1
HU,6
YF,2
YG,11
HV,3
HW,3
YH,3
HX,11
HY,2
YK,1
YL,1
YM,10
YN,4
YO,25
IA,2
YV,1
IN,5
ZA,1
IP,1
IS,3
ZG,3
ZL,1
ZN,2
ZO,1
ZQ,1
ZR,8
KA,3
KB,5
KC,1
KD,4
KE,8
KG,2
KH,12
KL,1
KM,1
KO,8
KP,9
KQ,2
KR,2
KS,3
KV,4
KY,1
KZ,1
LA,9
LH,1
LI,3
LK,4
LN,2
LP,1
LQ,4
LR,2
LT,3
LW,9
LY,1
MA,4
MH,5
ML,1
MO,3
MU,1
MY,5
NE,7
NH,5
NI,4
NL,2
NM,2
NO,7
NP,19
NR,7
NS,1
NU,1
NW,3
NX,2
NY,5
NZ,3
OA,24
OB,3
OC,10
OD,12
OE,2
OG,10
OH,9
OI,1
OK,8
OL,7
ON,6
OP,1
OQ,2
OR,3
OS,15
OT,14
OU,2
OX,1
OY,6
PD,3
PG,1
PI,1
PK,2
PL,5
PN,2
