VBDA,1
EXAO,1
OAWK,1
HCOY,1
UAEH,1
WEFY,1
YOUA,2
SAKH,1
LRAG,1
MYLK,1
ESXZ,13
KBED,1
FEZR,1
HVVB,1
OAXD,1
OAXA,1
ONOT,1
PDYH,1
BSAH,2
XPYO,1
KYQN,1
OHCW,1
SXXA,1
HXXP,1
PDYM,1
EOOT,1
VBCO,3
EOOU,1
DNPW,1
VBCR,3
EOOY,2
LIOH,1
VBCH,3
PICB,1
YMPS,1
YMPR,1
KQDA,1
LTGA,1
CTAL,1
VBFH,1
GZAU,1
COXD,3
WKUA,1
FHAH,1
EORQ,1
COXA,1
OYHM,1
KDKA,1
WKUE,1
OAYO,2
QLHX,4
NOXA,1
XYNE,1
WCET,1
NOXG,1
OLOD,1
EOSB,1
HANP,1
OLOP,1
WAAL,1
WCEO,1
COWK,1
UENE,1
OAXL,1
BSCO,1
KBET,1
OHEN,1
AGOB,1
UAEY,1
SGXE,1
OAYC,1
DAZA,1
CKRI,1
FHCH,1
YMUA,1
MHOA,1
EMPR,1
BSDE,1
VBHA,1
VBHC,1
NEEY,1
EOUA,1
DLRA,1
VBHL,1
SEXE,1
YKQR,1
QHAQ,3
OLOX,1
YOXO,1
VBGH,1
EOSQ,1
HCSB,1
KOAL,1
KDLA,1
KHTE,1
RKDT,1
KQER,1
OHHC,1
MYOT,1
YGHV,1
SANP,1
HAOQ,1
AREV,1
VBGR,1
LTKH,1
CMXE,3
ONWC,1
OLSG,1
EOWE,2
EOWH,1
KBKR,1
DSAO,1
YCCO,2
RSXP,1
OYKH,2
GOON,1
YOZR,1
RQSB,1
KHVB,2
KOCO,1
ARHB,1
DLSA,2
SAPR,1
EOVB,1
RQSD,1
AZXE,3
KDNO,1
QLLK,1
ODDS,2
OYNE,1
YCEH,1
WEON,1
WPDY,2
HLIN,1
WGSD,1
FHGR,2
LAHA,1
WPDQ,1
WCKE,1
STYO,1
WPEH,1
AGSX,1
UEVB,1
UAMY,2
